user_id,user_type,session_count,avg_session_duration,streak_length,preferred_time_of_day,content_engagement_rate,notification_response_rate,days_since_signup,total_sessions,last_login_days_ago,content_completion_rate,goal_progress_percentage,churn
user_0000,active,21,17.558515842322794,19,2,0.8728918500954692,0.7387400631785948,151,39,2,0.7145209030420498,90.31616510212274,0
user_0001,active,22,15.810661675386235,25,1,0.8526995702933886,0.8754210836063001,221,42,0,0.7760605607398844,78.36647510712832,0
user_0002,active,15,14.29729592310067,14,2,0.7596244944759625,0.8140703845572055,80,58,2,0.945807721451697,76.3367012636793,0
user_0003,active,21,10.046289484247499,11,1,0.9321099380386666,0.8862528132298237,271,29,1,0.724418028501596,83.94815592792548,0
user_0004,active,21,15.31995989339145,12,2,0.6606776287277202,0.6564242430292964,79,60,1,0.8062889686228112,67.2779582003866,0
user_0005,active,27,19.635015533174702,16,1,0.7383025826006351,0.8706635463175176,333,41,1,0.7489957156047863,61.582955111868834,0
user_0006,active,27,11.256188381286751,25,1,0.9378393575424482,0.7428136990746739,70,55,2,0.7413167347657506,60.547274235941785,0
user_0007,active,15,10.38458817841007,28,2,0.885411499959192,0.7827429375390469,192,49,0,0.8514899936952528,92.4205307479672,0
user_0008,active,26,18.357241110507122,12,1,0.6333935407716439,0.6483273008793066,91,49,0,0.8824015445845159,82.31451149743246,0
user_0009,active,15,12.595122497045478,19,1,0.8971198384931294,0.7886918084659493,284,28,2,0.7101083973846078,84.87320113900256,0
user_0010,active,26,9.294697123919654,11,0,0.7100245933767143,0.7034282764658811,251,62,2,0.8511043448194543,78.89443819555856,0
user_0011,active,27,8.923758917945516,23,1,0.9081637436553401,0.7497416192535173,91,32,1,0.920820064729717,71.35207573518458,0
user_0012,active,23,11.816041699662367,5,0,0.6797773068896795,0.6708431154505026,145,35,0,0.7761953145395072,65.76295486000296,0
user_0013,active,28,10.665293725648763,23,1,0.7181653099912697,0.8771638815650077,189,59,0,0.8009590427645101,62.27122864881436,0
user_0014,active,26,11.02138754990437,6,2,0.7053074084358694,0.6139361977509871,110,74,1,0.8256697558072154,61.80175629374963,0
user_0015,active,15,15.612216136416365,6,0,0.771308466097147,0.8942601816442404,276,18,2,0.8904049038321793,68.31731403973399,0
user_0016,active,22,13.643607613352462,6,1,0.7395885548555936,0.8265727492877536,173,54,0,0.7801950162429339,66.5281478639949,1
user_0017,active,18,11.911506862422616,8,2,0.8489023363533061,0.8238004184558863,177,49,2,0.7435916072512478,84.1828208335863,0
user_0018,active,16,18.052521270887937,15,0,0.6397157324342062,0.8698774473114251,327,50,2,0.8649960115085447,88.60277700704256,0
user_0019,active,26,11.129950097964908,5,1,0.9140255152836643,0.8601672228653322,38,66,2,0.8750894574931928,89.63313997834071,0
user_0020,active,20,17.358506550291487,28,2,0.9274722479773316,0.8141362604455775,133,39,1,0.7022992629041573,63.55150400031113,0
